check,status,detail
trip_000020_gps_schema,PASS,
trip_000020_gps_time_sequence,PASS,
trip_000020_gps_trip_id,PASS,
trip_000020_origin_destination,PASS,
trip_000020_timeline,PASS,
trip_000020_walk_network_reference,PASS,
trip_000020_transfer_recomputed,PASS,
trip_000021_gps_schema,PASS,
trip_000021_gps_time_sequence,PASS,
trip_000021_gps_trip_id,PASS,
trip_000021_origin_destination,PASS,
trip_000021_timeline,PASS,
trip_000021_walk_network_reference,PASS,
trip_000021_transfer_recomputed,PASS,
trip_000022_gps_schema,PASS,
trip_000022_gps_time_sequence,PASS,
trip_000022_gps_trip_id,PASS,
trip_000022_origin_destination,PASS,
trip_000022_timeline,PASS,
trip_000022_walk_network_reference,PASS,
trip_000022_transfer_recomputed,PASS,
trip_000023_gps_schema,PASS,
trip_000023_gps_time_sequence,PASS,
trip_000023_gps_trip_id,PASS,
trip_000023_origin_destination,PASS,
trip_000023_timeline,PASS,
trip_000023_walk_network_reference,PASS,
trip_000023_transfer_recomputed,PASS,
trip_000024_gps_schema,PASS,
trip_000024_gps_time_sequence,PASS,
trip_000024_gps_trip_id,PASS,
trip_000024_origin_destination,PASS,
trip_000024_timeline,PASS,
trip_000024_walk_network_reference,PASS,
trip_000024_transfer_recomputed,PASS,
trip_000025_gps_schema,PASS,
trip_000025_gps_time_sequence,PASS,
trip_000025_gps_trip_id,PASS,
trip_000025_origin_destination,PASS,
trip_000025_timeline,PASS,
trip_000025_walk_network_reference,PASS,
trip_000025_transfer_recomputed,PASS,
trip_000026_gps_schema,PASS,
trip_000026_gps_time_sequence,PASS,
trip_000026_gps_trip_id,PASS,
trip_000026_origin_destination,PASS,
trip_000026_timeline,PASS,
trip_000026_walk_network_reference,PASS,
trip_000026_transfer_recomputed,PASS,
trip_000027_gps_schema,PASS,
trip_000027_gps_time_sequence,PASS,
trip_000027_gps_trip_id,PASS,
trip_000027_origin_destination,PASS,
trip_000027_timeline,PASS,
trip_000027_walk_network_reference,PASS,
trip_000027_transfer_recomputed,PASS,
trip_000028_gps_schema,PASS,
trip_000028_gps_time_sequence,PASS,
trip_000028_gps_trip_id,PASS,
trip_000028_origin_destination,PASS,
trip_000028_timeline,PASS,
trip_000028_walk_network_reference,PASS,
trip_000028_transfer_recomputed,PASS,
trip_000029_gps_schema,PASS,
trip_000029_gps_time_sequence,PASS,
trip_000029_gps_trip_id,PASS,
trip_000029_origin_destination,PASS,
trip_000029_timeline,PASS,
trip_000029_walk_network_reference,PASS,
trip_000029_transfer_recomputed,PASS,
trip_000030_gps_schema,PASS,
trip_000030_gps_time_sequence,PASS,
trip_000030_gps_trip_id,PASS,
trip_000030_origin_destination,PASS,
trip_000030_timeline,PASS,
trip_000030_walk_network_reference,PASS,
trip_000030_transfer_recomputed,PASS,
trip_000031_gps_schema,PASS,
trip_000031_gps_time_sequence,PASS,
trip_000031_gps_trip_id,PASS,
trip_000031_origin_destination,PASS,
trip_000031_timeline,PASS,
trip_000031_walk_network_reference,PASS,
trip_000031_transfer_recomputed,PASS,
trip_000032_gps_schema,PASS,
trip_000032_gps_time_sequence,PASS,
trip_000032_gps_trip_id,PASS,
trip_000032_origin_destination,PASS,
trip_000032_timeline,PASS,
trip_000032_walk_network_reference,PASS,
trip_000032_transfer_recomputed,PASS,
trip_000033_gps_schema,PASS,
trip_000033_gps_time_sequence,PASS,
trip_000033_gps_trip_id,PASS,
trip_000033_origin_destination,PASS,
trip_000033_timeline,PASS,
trip_000033_walk_network_reference,PASS,
trip_000033_transfer_recomputed,PASS,
trip_000034_gps_schema,PASS,
trip_000034_gps_time_sequence,PASS,
trip_000034_gps_trip_id,PASS,
trip_000034_origin_destination,PASS,
trip_000034_timeline,PASS,
trip_000034_walk_network_reference,PASS,
trip_000034_transfer_recomputed,PASS,
trip_000035_gps_schema,PASS,
trip_000035_gps_time_sequence,PASS,
trip_000035_gps_trip_id,PASS,
trip_000035_origin_destination,PASS,
trip_000035_timeline,PASS,
trip_000035_walk_network_reference,PASS,
trip_000035_transfer_recomputed,PASS,
trip_000036_gps_schema,PASS,
trip_000036_gps_time_sequence,PASS,
trip_000036_gps_trip_id,PASS,
trip_000036_origin_destination,PASS,
trip_000036_timeline,PASS,
trip_000036_walk_network_reference,PASS,
trip_000036_transfer_recomputed,PASS,
trip_000037_gps_schema,PASS,
trip_000037_gps_time_sequence,PASS,
trip_000037_gps_trip_id,PASS,
trip_000037_origin_destination,PASS,
trip_000037_timeline,PASS,
trip_000037_walk_network_reference,PASS,
trip_000037_transfer_recomputed,PASS,
trip_000038_gps_schema,PASS,
trip_000038_gps_time_sequence,PASS,
trip_000038_gps_trip_id,PASS,
trip_000038_origin_destination,PASS,
trip_000038_timeline,PASS,
trip_000038_walk_network_reference,PASS,
trip_000038_transfer_recomputed,PASS,
trip_000039_gps_schema,PASS,
trip_000039_gps_time_sequence,PASS,
trip_000039_gps_trip_id,PASS,
trip_000039_origin_destination,PASS,
trip_000039_timeline,PASS,
trip_000039_walk_network_reference,PASS,
trip_000039_transfer_recomputed,PASS,
trip_000040_gps_schema,PASS,
trip_000040_gps_time_sequence,PASS,
trip_000040_gps_trip_id,PASS,
trip_000040_origin_destination,PASS,
trip_000040_timeline,PASS,
trip_000040_walk_network_reference,PASS,
trip_000040_transfer_recomputed,PASS,
trip_000041_gps_schema,PASS,
trip_000041_gps_time_sequence,PASS,
trip_000041_gps_trip_id,PASS,
trip_000041_origin_destination,PASS,
trip_000041_timeline,PASS,
trip_000041_walk_network_reference,PASS,
trip_000041_transfer_recomputed,PASS,
trip_000042_gps_schema,PASS,
trip_000042_gps_time_sequence,PASS,
trip_000042_gps_trip_id,PASS,
trip_000042_origin_destination,PASS,
trip_000042_timeline,PASS,
trip_000042_walk_network_reference,PASS,
trip_000042_transfer_recomputed,PASS,
trip_000043_gps_schema,PASS,
trip_000043_gps_time_sequence,PASS,
trip_000043_gps_trip_id,PASS,
trip_000043_origin_destination,PASS,
trip_000043_timeline,PASS,
trip_000043_walk_network_reference,PASS,
trip_000043_transfer_recomputed,PASS,
trip_000044_gps_schema,PASS,
trip_000044_gps_time_sequence,PASS,
trip_000044_gps_trip_id,PASS,
trip_000044_origin_destination,PASS,
trip_000044_timeline,PASS,
trip_000044_walk_network_reference,PASS,
trip_000044_transfer_recomputed,PASS,
trip_000045_gps_schema,PASS,
trip_000045_gps_time_sequence,PASS,
trip_000045_gps_trip_id,PASS,
trip_000045_origin_destination,PASS,
trip_000045_timeline,PASS,
trip_000045_walk_network_reference,PASS,
trip_000045_transfer_recomputed,PASS,
trip_000046_gps_schema,PASS,
trip_000046_gps_time_sequence,PASS,
trip_000046_gps_trip_id,PASS,
trip_000046_origin_destination,PASS,
trip_000046_timeline,PASS,
trip_000046_walk_network_reference,PASS,
trip_000046_transfer_recomputed,PASS,
trip_000047_gps_schema,PASS,
trip_000047_gps_time_sequence,PASS,
trip_000047_gps_trip_id,PASS,
trip_000047_origin_destination,PASS,
trip_000047_timeline,PASS,
trip_000047_walk_network_reference,PASS,
trip_000047_transfer_recomputed,PASS,
trip_000048_gps_schema,PASS,
trip_000048_gps_time_sequence,PASS,
trip_000048_gps_trip_id,PASS,
trip_000048_origin_destination,PASS,
trip_000048_timeline,PASS,
trip_000048_walk_network_reference,PASS,
trip_000048_transfer_recomputed,PASS,
trip_000049_gps_schema,PASS,
trip_000049_gps_time_sequence,PASS,
trip_000049_gps_trip_id,PASS,
trip_000049_origin_destination,PASS,
trip_000049_timeline,PASS,
trip_000049_walk_network_reference,PASS,
trip_000049_transfer_recomputed,PASS,
trip_000050_gps_schema,PASS,
trip_000050_gps_time_sequence,PASS,
trip_000050_gps_trip_id,PASS,
trip_000050_origin_destination,PASS,
trip_000050_timeline,PASS,
trip_000050_walk_network_reference,PASS,
trip_000050_transfer_recomputed,PASS,
trip_000051_gps_schema,PASS,
trip_000051_gps_time_sequence,PASS,
trip_000051_gps_trip_id,PASS,
trip_000051_origin_destination,PASS,
trip_000051_timeline,PASS,
trip_000051_walk_network_reference,PASS,
trip_000051_transfer_recomputed,PASS,
trip_000052_gps_schema,PASS,
trip_000052_gps_time_sequence,PASS,
trip_000052_gps_trip_id,PASS,
trip_000052_origin_destination,PASS,
trip_000052_timeline,PASS,
trip_000052_walk_network_reference,PASS,
trip_000052_transfer_recomputed,PASS,
trip_000053_gps_schema,PASS,
trip_000053_gps_time_sequence,PASS,
trip_000053_gps_trip_id,PASS,
trip_000053_origin_destination,PASS,
trip_000053_timeline,PASS,
trip_000053_walk_network_reference,PASS,
trip_000053_transfer_recomputed,PASS,
trip_000054_gps_schema,PASS,
trip_000054_gps_time_sequence,PASS,
trip_000054_gps_trip_id,PASS,
trip_000054_origin_destination,PASS,
trip_000054_timeline,PASS,
trip_000054_walk_network_reference,PASS,
trip_000054_transfer_recomputed,PASS,
trip_000055_gps_schema,PASS,
trip_000055_gps_time_sequence,PASS,
trip_000055_gps_trip_id,PASS,
trip_000055_origin_destination,PASS,
trip_000055_timeline,PASS,
trip_000055_walk_network_reference,PASS,
trip_000055_transfer_recomputed,PASS,
trip_000056_gps_schema,PASS,
trip_000056_gps_time_sequence,PASS,
trip_000056_gps_trip_id,PASS,
trip_000056_origin_destination,PASS,
trip_000056_timeline,PASS,
trip_000056_walk_network_reference,PASS,
trip_000056_transfer_recomputed,PASS,
trip_000057_gps_schema,PASS,
trip_000057_gps_time_sequence,PASS,
trip_000057_gps_trip_id,PASS,
trip_000057_origin_destination,PASS,
trip_000057_timeline,PASS,
trip_000057_walk_network_reference,PASS,
trip_000057_transfer_recomputed,PASS,
trip_000058_gps_schema,PASS,
trip_000058_gps_time_sequence,PASS,
trip_000058_gps_trip_id,PASS,
trip_000058_origin_destination,PASS,
trip_000058_timeline,PASS,
trip_000058_walk_network_reference,PASS,
trip_000058_transfer_recomputed,PASS,
trip_000059_gps_schema,PASS,
trip_000059_gps_time_sequence,PASS,
trip_000059_gps_trip_id,PASS,
trip_000059_origin_destination,PASS,
trip_000059_timeline,PASS,
trip_000059_walk_network_reference,PASS,
trip_000059_transfer_recomputed,PASS,
trip_000060_gps_schema,PASS,
trip_000060_gps_time_sequence,PASS,
trip_000060_gps_trip_id,PASS,
trip_000060_origin_destination,PASS,
trip_000060_timeline,PASS,
trip_000060_walk_network_reference,PASS,
trip_000060_transfer_recomputed,PASS,
trip_000061_gps_schema,PASS,
trip_000061_gps_time_sequence,PASS,
trip_000061_gps_trip_id,PASS,
trip_000061_origin_destination,PASS,
trip_000061_timeline,PASS,
trip_000061_walk_network_reference,PASS,
trip_000061_transfer_recomputed,PASS,
trip_000062_gps_schema,PASS,
trip_000062_gps_time_sequence,PASS,
trip_000062_gps_trip_id,PASS,
trip_000062_origin_destination,PASS,
trip_000062_timeline,PASS,
trip_000062_walk_network_reference,PASS,
trip_000062_transfer_recomputed,PASS,
trip_000063_gps_schema,PASS,
trip_000063_gps_time_sequence,PASS,
trip_000063_gps_trip_id,PASS,
trip_000063_origin_destination,PASS,
trip_000063_timeline,PASS,
trip_000063_walk_network_reference,PASS,
trip_000063_transfer_recomputed,PASS,
trip_000064_gps_schema,PASS,
trip_000064_gps_time_sequence,PASS,
trip_000064_gps_trip_id,PASS,
trip_000064_origin_destination,PASS,
trip_000064_timeline,PASS,
trip_000064_walk_network_reference,PASS,
trip_000064_transfer_recomputed,PASS,
trip_000065_gps_schema,PASS,
trip_000065_gps_time_sequence,PASS,
trip_000065_gps_trip_id,PASS,
trip_000065_origin_destination,PASS,
trip_000065_timeline,PASS,
trip_000065_walk_network_reference,PASS,
trip_000065_transfer_recomputed,PASS,
trip_000066_gps_schema,PASS,
trip_000066_gps_time_sequence,PASS,
trip_000066_gps_trip_id,PASS,
trip_000066_origin_destination,PASS,
trip_000066_timeline,PASS,
trip_000066_walk_network_reference,PASS,
trip_000066_transfer_recomputed,PASS,
trip_000067_gps_schema,PASS,
trip_000067_gps_time_sequence,PASS,
trip_000067_gps_trip_id,PASS,
trip_000067_origin_destination,PASS,
trip_000067_timeline,PASS,
trip_000067_walk_network_reference,PASS,
trip_000067_transfer_recomputed,PASS,
trip_000068_gps_schema,PASS,
trip_000068_gps_time_sequence,PASS,
trip_000068_gps_trip_id,PASS,
trip_000068_origin_destination,PASS,
trip_000068_timeline,PASS,
trip_000068_walk_network_reference,PASS,
trip_000068_transfer_recomputed,PASS,
trip_000069_gps_schema,PASS,
trip_000069_gps_time_sequence,PASS,
trip_000069_gps_trip_id,PASS,
trip_000069_origin_destination,PASS,
trip_000069_timeline,PASS,
trip_000069_walk_network_reference,PASS,
trip_000069_transfer_recomputed,PASS,
trip_000070_gps_schema,PASS,
trip_000070_gps_time_sequence,PASS,
trip_000070_gps_trip_id,PASS,
trip_000070_origin_destination,PASS,
trip_000070_timeline,PASS,
trip_000070_walk_network_reference,PASS,
trip_000070_transfer_recomputed,PASS,
trip_000071_gps_schema,PASS,
trip_000071_gps_time_sequence,PASS,
trip_000071_gps_trip_id,PASS,
trip_000071_origin_destination,PASS,
trip_000071_timeline,PASS,
trip_000071_walk_network_reference,PASS,
trip_000071_transfer_recomputed,PASS,
trip_000072_gps_schema,PASS,
trip_000072_gps_time_sequence,PASS,
trip_000072_gps_trip_id,PASS,
trip_000072_origin_destination,PASS,
trip_000072_timeline,PASS,
trip_000072_walk_network_reference,PASS,
trip_000072_transfer_recomputed,PASS,
trip_000073_gps_schema,PASS,
trip_000073_gps_time_sequence,PASS,
trip_000073_gps_trip_id,PASS,
trip_000073_origin_destination,PASS,
trip_000073_timeline,PASS,
trip_000073_walk_network_reference,PASS,
trip_000073_transfer_recomputed,PASS,
trip_000074_gps_schema,PASS,
trip_000074_gps_time_sequence,PASS,
trip_000074_gps_trip_id,PASS,
trip_000074_origin_destination,PASS,
trip_000074_timeline,PASS,
trip_000074_walk_network_reference,PASS,
trip_000074_transfer_recomputed,PASS,
trip_000075_gps_schema,PASS,
trip_000075_gps_time_sequence,PASS,
trip_000075_gps_trip_id,PASS,
trip_000075_origin_destination,PASS,
trip_000075_timeline,PASS,
trip_000075_walk_network_reference,PASS,
trip_000075_transfer_recomputed,PASS,
trip_000076_gps_schema,PASS,
trip_000076_gps_time_sequence,PASS,
trip_000076_gps_trip_id,PASS,
trip_000076_origin_destination,PASS,
trip_000076_timeline,PASS,
trip_000076_walk_network_reference,PASS,
trip_000076_transfer_recomputed,PASS,
trip_000077_gps_schema,PASS,
trip_000077_gps_time_sequence,PASS,
trip_000077_gps_trip_id,PASS,
trip_000077_origin_destination,PASS,
trip_000077_timeline,PASS,
trip_000077_walk_network_reference,PASS,
trip_000077_transfer_recomputed,PASS,
trip_000078_gps_schema,PASS,
trip_000078_gps_time_sequence,PASS,
trip_000078_gps_trip_id,PASS,
trip_000078_origin_destination,PASS,
trip_000078_timeline,PASS,
trip_000078_walk_network_reference,PASS,
trip_000078_transfer_recomputed,PASS,
trip_000079_gps_schema,PASS,
trip_000079_gps_time_sequence,PASS,
trip_000079_gps_trip_id,PASS,
trip_000079_origin_destination,PASS,
trip_000079_timeline,PASS,
trip_000079_walk_network_reference,PASS,
trip_000079_transfer_recomputed,PASS,
trip_000080_gps_schema,PASS,
trip_000080_gps_time_sequence,PASS,
trip_000080_gps_trip_id,PASS,
trip_000080_origin_destination,PASS,
trip_000080_timeline,PASS,
trip_000080_walk_network_reference,PASS,
trip_000080_transfer_recomputed,PASS,
trip_000081_gps_schema,PASS,
trip_000081_gps_time_sequence,PASS,
trip_000081_gps_trip_id,PASS,
trip_000081_origin_destination,PASS,
trip_000081_timeline,PASS,
trip_000081_walk_network_reference,PASS,
trip_000081_transfer_recomputed,PASS,
trip_000082_gps_schema,PASS,
trip_000082_gps_time_sequence,PASS,
trip_000082_gps_trip_id,PASS,
trip_000082_origin_destination,PASS,
trip_000082_timeline,PASS,
trip_000082_walk_network_reference,PASS,
trip_000082_transfer_recomputed,PASS,
trip_000083_gps_schema,PASS,
trip_000083_gps_time_sequence,PASS,
trip_000083_gps_trip_id,PASS,
trip_000083_origin_destination,PASS,
trip_000083_timeline,PASS,
trip_000083_walk_network_reference,PASS,
trip_000083_transfer_recomputed,PASS,
trip_000084_gps_schema,PASS,
trip_000084_gps_time_sequence,PASS,
trip_000084_gps_trip_id,PASS,
trip_000084_origin_destination,PASS,
trip_000084_timeline,PASS,
trip_000084_walk_network_reference,PASS,
trip_000084_transfer_recomputed,PASS,
trip_000085_gps_schema,PASS,
trip_000085_gps_time_sequence,PASS,
trip_000085_gps_trip_id,PASS,
trip_000085_origin_destination,PASS,
trip_000085_timeline,PASS,
trip_000085_walk_network_reference,PASS,
trip_000085_transfer_recomputed,PASS,
trip_000086_gps_schema,PASS,
trip_000086_gps_time_sequence,PASS,
trip_000086_gps_trip_id,PASS,
trip_000086_origin_destination,PASS,
trip_000086_timeline,PASS,
trip_000086_walk_network_reference,PASS,
trip_000086_transfer_recomputed,PASS,
trip_000087_gps_schema,PASS,
trip_000087_gps_time_sequence,PASS,
trip_000087_gps_trip_id,PASS,
trip_000087_origin_destination,PASS,
trip_000087_timeline,PASS,
trip_000087_walk_network_reference,PASS,
trip_000087_transfer_recomputed,PASS,
trip_000088_gps_schema,PASS,
trip_000088_gps_time_sequence,PASS,
trip_000088_gps_trip_id,PASS,
trip_000088_origin_destination,PASS,
trip_000088_timeline,PASS,
trip_000088_walk_network_reference,PASS,
trip_000088_transfer_recomputed,PASS,
trip_000089_gps_schema,PASS,
trip_000089_gps_time_sequence,PASS,
trip_000089_gps_trip_id,PASS,
trip_000089_origin_destination,PASS,
trip_000089_timeline,PASS,
trip_000089_walk_network_reference,PASS,
trip_000089_transfer_recomputed,PASS,
trip_000090_gps_schema,PASS,
trip_000090_gps_time_sequence,PASS,
trip_000090_gps_trip_id,PASS,
trip_000090_origin_destination,PASS,
trip_000090_timeline,PASS,
trip_000090_walk_network_reference,PASS,
trip_000090_transfer_recomputed,PASS,
trip_000091_gps_schema,PASS,
trip_000091_gps_time_sequence,PASS,
trip_000091_gps_trip_id,PASS,
trip_000091_origin_destination,PASS,
trip_000091_timeline,PASS,
trip_000091_walk_network_reference,PASS,
trip_000091_transfer_recomputed,PASS,
trip_000092_gps_schema,PASS,
trip_000092_gps_time_sequence,PASS,
trip_000092_gps_trip_id,PASS,
trip_000092_origin_destination,PASS,
trip_000092_timeline,PASS,
trip_000092_walk_network_reference,PASS,
trip_000092_transfer_recomputed,PASS,
trip_000093_gps_schema,PASS,
trip_000093_gps_time_sequence,PASS,
trip_000093_gps_trip_id,PASS,
trip_000093_origin_destination,PASS,
trip_000093_timeline,PASS,
trip_000093_walk_network_reference,PASS,
trip_000093_transfer_recomputed,PASS,
trip_000094_gps_schema,PASS,
trip_000094_gps_time_sequence,PASS,
trip_000094_gps_trip_id,PASS,
trip_000094_origin_destination,PASS,
trip_000094_timeline,PASS,
trip_000094_walk_network_reference,PASS,
trip_000094_transfer_recomputed,PASS,
trip_000095_gps_schema,PASS,
trip_000095_gps_time_sequence,PASS,
trip_000095_gps_trip_id,PASS,
trip_000095_origin_destination,PASS,
trip_000095_timeline,PASS,
trip_000095_walk_network_reference,PASS,
trip_000095_transfer_recomputed,PASS,
trip_000096_gps_schema,PASS,
trip_000096_gps_time_sequence,PASS,
trip_000096_gps_trip_id,PASS,
trip_000096_origin_destination,PASS,
trip_000096_timeline,PASS,
trip_000096_walk_network_reference,PASS,
trip_000096_transfer_recomputed,PASS,
trip_000097_gps_schema,PASS,
trip_000097_gps_time_sequence,PASS,
trip_000097_gps_trip_id,PASS,
trip_000097_origin_destination,PASS,
trip_000097_timeline,PASS,
trip_000097_walk_network_reference,PASS,
trip_000097_transfer_recomputed,PASS,
trip_000098_gps_schema,PASS,
trip_000098_gps_time_sequence,PASS,
trip_000098_gps_trip_id,PASS,
trip_000098_origin_destination,PASS,
trip_000098_timeline,PASS,
trip_000098_walk_network_reference,PASS,
trip_000098_transfer_recomputed,PASS,
trip_000099_gps_schema,PASS,
trip_000099_gps_time_sequence,PASS,
trip_000099_gps_trip_id,PASS,
trip_000099_origin_destination,PASS,
trip_000099_timeline,PASS,
trip_000099_walk_network_reference,PASS,
trip_000099_transfer_recomputed,PASS,
trip_000100_gps_schema,PASS,
trip_000100_gps_time_sequence,PASS,
trip_000100_gps_trip_id,PASS,
trip_000100_origin_destination,PASS,
trip_000100_timeline,PASS,
trip_000100_walk_network_reference,PASS,
trip_000100_transfer_recomputed,PASS,
trip_000101_gps_schema,PASS,
trip_000101_gps_time_sequence,PASS,
trip_000101_gps_trip_id,PASS,
trip_000101_origin_destination,PASS,
trip_000101_timeline,PASS,
trip_000101_walk_network_reference,PASS,
trip_000101_transfer_recomputed,PASS,
trip_000102_gps_schema,PASS,
trip_000102_gps_time_sequence,PASS,
trip_000102_gps_trip_id,PASS,
trip_000102_origin_destination,PASS,
trip_000102_timeline,PASS,
trip_000102_walk_network_reference,PASS,
trip_000102_transfer_recomputed,PASS,
trip_000103_gps_schema,PASS,
trip_000103_gps_time_sequence,PASS,
trip_000103_gps_trip_id,PASS,
trip_000103_origin_destination,PASS,
trip_000103_timeline,PASS,
trip_000103_walk_network_reference,PASS,
trip_000103_transfer_recomputed,PASS,
trip_000104_gps_schema,PASS,
trip_000104_gps_time_sequence,PASS,
trip_000104_gps_trip_id,PASS,
trip_000104_origin_destination,PASS,
trip_000104_timeline,PASS,
trip_000104_walk_network_reference,PASS,
trip_000104_transfer_recomputed,PASS,
trip_000105_gps_schema,PASS,
trip_000105_gps_time_sequence,PASS,
trip_000105_gps_trip_id,PASS,
trip_000105_origin_destination,PASS,
trip_000105_timeline,PASS,
trip_000105_walk_network_reference,PASS,
trip_000105_transfer_recomputed,PASS,
trip_000106_gps_schema,PASS,
trip_000106_gps_time_sequence,PASS,
trip_000106_gps_trip_id,PASS,
trip_000106_origin_destination,PASS,
trip_000106_timeline,PASS,
trip_000106_walk_network_reference,PASS,
trip_000106_transfer_recomputed,PASS,
trip_000107_gps_schema,PASS,
trip_000107_gps_time_sequence,PASS,
trip_000107_gps_trip_id,PASS,
trip_000107_origin_destination,PASS,
trip_000107_timeline,PASS,
trip_000107_walk_network_reference,PASS,
trip_000107_transfer_recomputed,PASS,
trip_000108_gps_schema,PASS,
trip_000108_gps_time_sequence,PASS,
trip_000108_gps_trip_id,PASS,
trip_000108_origin_destination,PASS,
trip_000108_timeline,PASS,
trip_000108_walk_network_reference,PASS,
trip_000108_transfer_recomputed,PASS,
trip_000109_gps_schema,PASS,
trip_000109_gps_time_sequence,PASS,
trip_000109_gps_trip_id,PASS,
trip_000109_origin_destination,PASS,
trip_000109_timeline,PASS,
trip_000109_walk_network_reference,PASS,
trip_000109_transfer_recomputed,PASS,
