trip_id,segment_id,scenario_type,corridor_id,route_source,classification,road_network_data,live_routing_at_generation,origin_destination_arbitrary,status_reason
trip_000240,1,car,공덕-마곡나루,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000241,1,car,공덕-마곡나루,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000242,1,car,여의도-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000243,1,car,창동-청량리,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000244,1,car,연신내-시청,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000245,1,car,시청-강남,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000246,1,car,여의도-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000247,1,car,창동-청량리,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000248,1,car,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000249,1,car,공덕-마곡나루,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000250,1,car,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000251,1,car,김포공항-여의도,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000252,1,car,성수-건대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000253,1,car,왕십리-압구정,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000254,1,car,왕십리-압구정,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000255,1,car,왕십리-압구정,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000256,1,car,왕십리-압구정,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000257,1,car,강남-잠실,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000258,1,car,왕십리-압구정,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000259,1,car,창동-청량리,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000260,1,car,시청-강남,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000261,1,car,김포공항-여의도,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000262,1,car,강남-잠실,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000263,1,car,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000264,1,car,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000265,1,car,사당-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000266,1,car,공덕-마곡나루,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000267,1,car,강남-잠실,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000268,1,car,강남-잠실,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000269,1,car,사당-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000270,1,car,왕십리-압구정,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000271,1,car,연신내-시청,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000272,1,car,강남-잠실,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000273,1,car,사당-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000274,1,car,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000275,1,car,합정-여의도,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000276,1,car,김포공항-여의도,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000277,1,car,김포공항-여의도,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000278,1,car,창동-청량리,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000279,1,car,여의도-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000280,1,car,강남-잠실,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000281,1,car,성수-건대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000282,1,car,왕십리-압구정,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000283,1,car,공덕-마곡나루,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000284,1,car,창동-청량리,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000285,1,car,합정-여의도,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000286,1,car,시청-강남,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000287,1,car,시청-강남,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000288,1,car,공덕-마곡나루,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000289,1,car,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000290,1,car,창동-청량리,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000291,1,car,사당-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000292,1,car,공덕-마곡나루,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000293,1,car,여의도-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000294,1,car,강남-잠실,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000295,1,car,왕십리-압구정,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000296,1,car,시청-강남,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000297,1,car,시청-강남,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000298,1,car,연신내-시청,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000299,1,car,창동-청량리,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000300,1,car,창동-청량리,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000501,2,multimodal,여의도-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000512,2,multimodal,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000519,2,multimodal,성수-건대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000522,2,multimodal,시청-강남,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000529,2,multimodal,여의도-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000537,2,multimodal,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000577,2,multimodal,강남-잠실,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000578,2,multimodal,강남-잠실,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000580,2,multimodal,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000583,2,multimodal,공덕-마곡나루,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000587,2,multimodal,김포공항-여의도,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000591,2,multimodal,김포공항-여의도,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000602,2,multimodal,시청-강남,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000612,2,multimodal,시청-강남,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000616,2,multimodal,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000623,2,multimodal,서울역-홍대입구,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000625,2,multimodal,공덕-마곡나루,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000627,2,multimodal,사당-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000652,2,multimodal,합정-여의도,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000653,2,multimodal,공덕-마곡나루,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000671,2,multimodal,시청-강남,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000693,2,multimodal,사당-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
trip_000699,2,multimodal,사당-고속터미널,OSRM route geometry derived from OpenStreetMap,A_LIMITED_PRECOMPUTED_OSRM_CORRIDOR,OSM derived geometry,NO,NO,generation randomly selects one of 12 precomputed OSRM driving corridors
